Time;Pleth;II
hh:mm:ss.000';mv';mV'
'20:56:22.629';-259;-12.03
'20:56:22.678';-251;-10.67
'20:56:22.678';-234;-9.68
'20:56:22.713';-213;-7.87
'20:56:22.713';-190;-6.25
'20:56:22.747';-168;-4.18
'20:56:22.747';-150;-2.72
'20:56:22.795';-134;-1.15
'20:56:22.795';-123;-0.45
'20:56:22.795';-110;0.54
'20:56:22.829';-99;2.33
'20:56:22.863';-89;4.73
'20:56:22.863';-81;6.25
'20:56:22.896';-80;7.18
'20:56:22.943';-83;7.43
'20:56:22.943';-86;7.32
'20:56:22.943';-88;7.26
'20:56:22.978';-89;7.38
'20:56:22.978';-87;8.11
'20:56:23.012';-84;8.46
'20:56:23.061';-79;7.11
'20:56:23.061';-72;5.15
'20:56:23.061';-68;3.59
'20:56:23.096';-64;2.46
'20:56:23.129';-61;2.02
'20:56:23.129';-58;2.27
'20:56:23.179';-57;-0.64
'20:56:23.179';-56;-8.53
'20:56:23.179';-55;74.94
'20:56:23.212';-56;82.18
'20:56:23.261';-57;38.13
'20:56:23.261';-58;-15.35
'20:56:23.261';-59;-28.82
'20:56:23.296';-59;-27.57
'20:56:23.296';-60;-24.17
'20:56:23.345';-60;-18.81
'20:56:23.345';-61;-10.01
'20:56:23.381';-65;0.42
'20:56:23.381';-86;5.11
'20:56:23.418';-149;4.53
'20:56:23.418';-214;-0.06
'20:56:23.462';-251;-5.91
'20:56:23.462';-263;-9.01
'20:56:23.512';-259;-9.46
'20:56:23.512';-242;-8.31
'20:56:23.562';-220;-6.98
'20:56:23.562';-194;-4.85
'20:56:23.562';-172;-2.85
'20:56:23.596';-155;-0.44
'20:56:23.645';-140;1.96
'20:56:23.645';-126;3.87
'20:56:23.645';-115;6.1
'20:56:23.679';-103;8.28
'20:56:23.679';-94;8.92
'20:56:23.712';-87;8.94
'20:56:23.762';-86;8.96
'20:56:23.762';-88;8.77
'20:56:23.762';-93;8.64
'20:56:23.796';-96;9.01
'20:56:23.796';-97;10.14
'20:56:23.845';-94;9.9
'20:56:23.845';-91;8.56
'20:56:23.895';-85;6.94
'20:56:23.895';-78;5.5
'20:56:23.931';-73;4.44
'20:56:23.931';-68;3.45
'20:56:23.977';-63;2.48
'20:56:23.977';-61;-5.59
'20:56:23.977';-59;37.32
'20:56:24.011';-59;95.01
'20:56:24.046';-60;42.9
'20:56:24.046';-62;-5.1
'20:56:24.095';-63;-29.66
'20:56:24.095';-64;-32.22
'20:56:24.129';-64;-29.08
'20:56:24.129';-64;-23.63
'20:56:24.162';-64;-13.84
'20:56:24.162';-67;-0.81
'20:56:24.211';-77;9.55
'20:56:24.211';-124;12.97
'20:56:24.246';-191;8.55
'20:56:24.246';-236;1.04
'20:56:24.279';-255;-4.51
'20:56:24.279';-257;-5.82
'20:56:24.328';-246;-5.89
'20:56:24.328';-227;-4.77
