Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:24:13.800';-89;17.88
'00:24:13.900';-85;17.48
'00:24:13.900';-83;14.35
'00:24:13.900';-83;11.48
'00:24:13.900';-82;10.47
'00:24:13.900';-82;6.96
'00:24:14.000';-79;2.09
'00:24:14.000';-79;-3.14
'00:24:14.000';-77;2.42
'00:24:14.000';-76;7.34
'00:24:14.100';-76;23.21
'00:24:14.100';-75;82.58
'00:24:14.100';-75;50.8
'00:24:14.100';-75;-18
'00:24:14.100';-74;-10.04
'00:24:14.100';-74;-1.24
'00:24:14.200';-73;0.71
'00:24:14.200';-72;1.28
'00:24:14.200';-72;1.85
'00:24:14.200';-73;1.33
'00:24:14.200';-75;-1.25
'00:24:14.300';-81;-3.52
'00:24:14.300';-91;-2.97
'00:24:14.300';-103;1.13
'00:24:14.300';-112;3.14
'00:24:14.300';-120;3.47
'00:24:14.400';-127;5.09
'00:24:14.400';-134;4.12
'00:24:14.400';-139;0.03
'00:24:14.400';-145;-9.45
'00:24:14.400';-149;-18.99
'00:24:14.500';-151;-20.81
'00:24:14.500';-150;-20.01
'00:24:14.500';-149;-18.64
'00:24:14.500';-143;-14.54
'00:24:14.600';-138;-10.08
'00:24:14.600';-136;-9.11
'00:24:14.600';-132;-8.35
'00:24:14.600';-130;-13.71
'00:24:14.600';-128;-24.79
'00:24:14.600';-126;-31.63
'00:24:14.700';-122;-34.66
'00:24:14.700';-119;-38.07
'00:24:14.700';-116;-39.82
'00:24:14.700';-113;-9.61
'00:24:14.700';-112;15.6
'00:24:14.800';-110;-22.45
'00:24:14.800';-108;-71.31
'00:24:14.800';-104;-50.62
'00:24:14.800';-101;-40.48
'00:24:14.900';-99;-32.52
